Id,ExternalId,Name,addeqbits,addequip,allwheel,armbroad,armlength,armsize,attachbit,attachments,available,balancepoint,basketload,battery,batterytype,brushpressure,buildbroad,capacity,carrbroad,chassisno,cleaningwidth,closedheight,custprice,dailyrentprice,dealerprice,engine,enginetype,forkcarr,forklength,forks,freelift,frontend,has_image,height,hours,hours_9p,internalno,intprice,isoclass,latrange,length,liftingheight,loadcenter,loccity,loccountry,locpostcode,manufacturer,masttype,model,monthlyrentpr,optcond,platfeedmot,rangefrom,rangeto,remarks,rental,suctionwidth,techcond,techdescr,toc,transmission,type,type_text,tyres,tyres2,tyresfront,tyresrear,userremarks,viewhp,warranty,weeklyrentpr,weight,width,workheight,yoc,yturl,ImportId,CreatedAt,UpdatedAt
,,Elektrostapler CBD15-BLIH,,,,,,,,,false,,,24V / 40Ah,Lithium-Batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CBD15-BLIH,,,,,,,,,,MAST: / | Tyres: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CBD15C-LI4,,,,,,,,,true,,,48V / 10Ah,Lithium-Batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CBD15C-LI4,,,,,,,,,,MAST: / | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CBD20C-LI4,,,,,,,,,true,,,48V / 20Ah,Lithium-Batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CBD20C-LI4,,,,,,,,,,MAST: / | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CBD25-A2FLIH,,,,,,,,,true,,,,Lithium-Batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CBD25-A2FLIH,,,,,,,,,,MAST: / | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CDD12R-S,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CDD12R-S,,,,,,,,,,MAST: M250 | Tyres: / | Attachments: / | Cabin: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CDD15C-S,,,,,,,,,true,,,24V / 85Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CDD15C-S,,,,,,,,,,MAST: M250 | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CDD15J,,,,,,,,,true,,,24V / 100Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CDD15J,,,,,,,,,,MAST: M300 | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CDD15J-ZSM,,,,,,,,,true,,,24V / 210Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CDD15J-ZSM,,,,,,,,,,MAST: ZSM400 | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CDD16-A2FLIH,,,,,,,,,true,,,24V / 205Ah,Lithium-Batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CDD16-A2FLIH,,,,,,,,,,MAST: ZSM540 | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Elektrostapler CDD20-A2FLIH,,,,,,,,,true,,,24V / 300Ah,Lithium-Batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heli,,CDD20-A2FLIH,,,,,,,,,,MAST: ZSM470 | Tyres: / | Attachments: / | Cabin: / | Special: /,,,,,,,/,/,,,,,,,,,,,,
,,Dieselstapler CPCD25-KU24RG3,,,,,,,,,true,,,,,,,,,,,,,,,KUBOTA V2403,,,,,,,,,,,,,,,,,,,,,Heli,,CPCD25-KU24RG3,,,,,,,,,,MAST: ZSM600 | Tyres: Solid Tyres | Attachments: HELI Hook-on Side-shift | Cabin: Cabin and heater | Special: /,,,,,,,Solid Tyres,Solid Tyres,,,,,,,,,,,,
